1	B股证券代码深交所的是如何编制的？	深交所B股证券代码的编制原则是什么？	1
2	可以直接买A股？	如何才可以买股票？	1
3	新三板企业的限售期是什么时候呀	忘记交易密码怎么办？	0
4	深圳证券交易所证券代码是如何编制的？	新股申购的条件？	0
5	A股交易时间	当日卖出股票后可以转出资金吗？	0
6	你好，请问申购新股的条件是什么？	新股申购的条件？	1
7	怎样开通沪深	如何修改接收新股中签提醒短信的手机号码？	0
8	股票里的钱转不出来怎么回事？	为何账户有资金无法转出？	1
9	忘记交易密码怎么办？	股票的交易时间？	0
10	咋开通创业板	如何开户？	0
11	农行转证券为什么转不了	忘记资金密码怎么办？	0
12	ST股票可以用信用账户买吗	信用账户可以购买ST股票吗？	1
13	申购创业板的新股  需要什么条件	银证转账的时间？	0
14	我的手续费是多少	为何账户有资金无法转出？	0
15	开创业	为何账户有资金无法转出？	0
16	在哪开创业板	新股申购的条件？	0
17	如何区分港股通和A股的退市制度？	为什么资金可用不可取？	0
18	今天卖出的股票，钱要多久可以转进银行	当日卖出股票后可以转出资金吗？	1
19	证券转银行，怎么会冻结资金	信用账户三方存管的银行有哪些？	0
20	你好我想取消三方存管,请问怎么操作	忘记交易密码怎么办？	0
21	登录账户忘记了	股票交易费用	0
22	为什么我现在银转证转不进去了？	证券转银行为什么转不了？	1
23	您好，请问交易密码忘记了怎么办	为何账户有资金无法转出？	0
24	每天股票的交易时间	股票的交易时间？	1
25	你好。登录密码忘了	创业板如何开通	0
26	我的钱怎么转不了银行“呢？	多少资金能达到多少的佣金？	0
27	请问下第三方存管银行可以变更吗	上交所债券的费用有哪些？	0
28	登陆密码忘了	股票的交易时间？	0
29	亲，我帐号忘记了，咋查	客户编号忘记了如何找回？	1
30	转不了钱进帐户	创业板如何开通	0
31	B股交易手续费？	身份证过期如何办理？	0
32	股票佣金是什么	如何收取股票交易佣金？	1
33	你好，能查到我佣金费率多少吗？	A股和港股通退市制度的区别	0
34	我的账号为何不能登录？	为何账户有资金无法转出？	0
35	申购新股有什么条件！	新股申购的条件？	1
36	我怎么才能卖出股票	网下打新申报价格有什么规定？	0
37	信用账户使用有哪方面的限制？	证券转银行为什么转不了？	0
38	不记得资金密码	忘记资金密码怎么办？	1
39	深交所债券的费用类型？	信用账户可以网上开通吗？	0
40	今天买入哪只股票？	股票可以当天买入当天卖出吗？	1
41	客户编码忘记了	客户编号忘记了如何找回？	1
42	股票卖出什么时候可以转出资金	深港通标的股票范围？	0
43	请问A股开户免费么？	A股开户是否收费？	1
44	我银行卡变更	如何更换银行卡？	1
45	我新股申购说不符合条件	新股申购的条件？	1
46	上交所股票期权行权价格间距是按照什么标准设置的	信用账户可以网上开通吗？	0
47	能重新开个账户吗	如何查询证券账号？	0
48	我已经开有户，从哪登录	创业板如何开通	0
49	请问如何开通创业板	股票的交易时间？	0
